Name,Index Year,Overall Score,Property Rights,Judicial Effectiveness,Government Integrity,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Bolivia,2011,50.0,10.0,N/A,27.0,83.9,63.7,N/A,57.2,41.5,68.8,77.6,20.0,50.0
Bosnia and Herzegovina,2011,57.5,20.0,N/A,30.0,83.9,24.1,N/A,60.4,60.2,80.6,86.0,70.0,60.0
Botswana,2011,68.8,70.0,N/A,56.0,78.4,51.5,N/A,70.5,70.0,70.9,75.2,75.0,70.0
Brazil,2011,56.3,50.0,N/A,37.0,69.0,49.6,N/A,54.3,57.8,75.9,69.8,50.0,50.0
Bulgaria,2011,64.9,30.0,N/A,38.0,86.9,58.3,N/A,75.8,82.0,75.5,87.6,55.0,60.0
Burkina Faso,2011,60.6,30.0,N/A,36.0,80.5,86.0,N/A,61.5,53.5,76.8,76.2,55.0,50.0
Burma,2011,37.8,5.0,N/A,14.0,81.9,98.1,N/A,20.0,20.0,56.6,72.3,0.0,10.0
Burundi,2011,49.6,20.0,N/A,18.0,72.3,52.0,N/A,36.8,67.1,66.1,78.8,55.0,30.0
Cabo Verde,2011,64.6,65.0,N/A,51.0,77.3,71.0,N/A,64.8,50.0,79.2,67.6,60.0,60.0
Cambodia,2011,57.9,30.0,N/A,20.0,90.9,94.2,N/A,39.5,46.3,78.0,70.0,60.0,50.0
Cameroon,2011,51.8,30.0,N/A,22.0,66.9,89.7,N/A,44.1,47.0,73.3,59.6,35.0,50.0
Canada,2011,80.8,90.0,N/A,87.0,78.0,52.7,N/A,96.4,81.7,78.8,88.1,75.0,80.0
Central African Republic,2011,49.3,20.0,N/A,20.0,65.4,92.8,N/A,36.8,48.2,71.3,58.1,50.0,30.0
Chad,2011,45.3,20.0,N/A,16.0,50.4,85.3,N/A,25.3,44.8,70.6,55.6,45.0,40.0
Chile,2011,77.4,85.0,N/A,67.0,77.7,86.6,N/A,67.2,74.5,77.9,88.0,80.0,70.0
China,2011,52.0,20.0,N/A,36.0,70.3,87.0,N/A,49.8,54.9,75.3,71.6,25.0,30.0
Colombia,2011,68.0,50.0,N/A,37.0,74.5,78.9,N/A,86.1,79.3,75.8,73.2,65.0,60.0
Comoros,2011,43.8,30.0,N/A,23.0,64.8,77.8,N/A,42.9,30.7,76.2,62.4,10.0,20.0
"Costa Rica ",2011,67.3,55.0,N/A,53.0,82.3,86.9,N/A,58.2,62.1,70.7,85.2,70.0,50.0
"Côte d'Ivoire ",2011,55.4,30.0,N/A,21.0,78.5,88.4,N/A,43.3,55.7,80.2,72.2,35.0,50.0
Croatia,2011,61.1,40.0,N/A,41.0,74.6,50.3,N/A,65.2,44.1,78.5,87.6,70.0,60.0
Cuba,2011,27.7,10.0,N/A,44.0,49.0,0.0,N/A,10.0,20.0,71.6,62.2,0.0,10.0
Cyprus,2011,73.3,80.0,N/A,66.0,74.6,45.6,N/A,80.1,71.4,87.6,82.6,75.0,70.0
Czech Republic,2011,70.4,65.0,N/A,49.0,81.0,44.8,N/A,69.8,77.0,80.0,87.6,70.0,80.0
Democratic Republic of Congo,2011,40.7,10.0,N/A,19.0,73.3,84.5,N/A,37.8,37.3,46.7,63.0,15.0,20.0
Denmark,2011,78.6,90.0,N/A,93.0,43.2,19.5,N/A,99.7,92.1,81.4,87.6,90.0,90.0
Djibouti,2011,54.5,30.0,N/A,28.0,79.6,50.5,N/A,32.9,67.7,76.6,59.6,60.0,60.0
Dominica,2011,63.3,65.0,N/A,59.0,69.5,45.8,N/A,74.8,62.8,86.3,74.3,65.0,30.0
Dominican Republic,2011,60.0,30.0,N/A,30.0,85.3,89.1,N/A,56.4,57.1,77.1,79.8,55.0,40.0
Ecuador,2011,47.1,20.0,N/A,22.0,78.9,50.1,N/A,53.5,40.1,64.9,76.0,25.0,40.0
Egypt,2011,59.1,40.0,N/A,28.0,89.6,65.3,N/A,64.5,53.6,60.8,74.0,65.0,50.0
"El Salvador ",2011,68.8,40.0,N/A,34.0,85.8,88.0,N/A,65.5,64.9,79.9,85.0,75.0,70.0
Equatorial Guinea,2011,47.5,20.0,N/A,18.0,75.5,80.5,N/A,44.2,43.1,74.4,58.9,20.0,40.0
Eritrea,2011,36.7,10.0,N/A,26.0,73.0,31.5,N/A,18.2,73.4,46.0,69.1,0.0,20.0
Estonia,2011,75.2,80.0,N/A,66.0,80.7,52.2,N/A,80.9,55.8,78.7,87.6,90.0,80.0
Eswatini,2011,59.1,40.0,N/A,36.0,67.2,65.9,N/A,66.4,69.4,71.0,79.8,55.0,40.0
Ethiopia,2011,50.5,30.0,N/A,27.0,74.5,88.7,N/A,67.4,57.1,54.3,65.6,20.0,20.0
Fiji,2011,60.4,30.0,N/A,40.0,78.1,81.3,N/A,63.2,75.7,76.1,69.8,30.0,60.0
Finland,2011,74.0,90.0,N/A,89.0,65.3,26.5,N/A,95.0,41.4,80.7,87.6,85.0,80.0
France,2011,64.6,80.0,N/A,69.0,52.3,16.4,N/A,85.6,51.4,83.7,82.6,55.0,70.0
Gabon,2011,56.7,40.0,N/A,29.0,74.5,87.9,N/A,57.3,58.8,73.8,61.0,45.0,40.0
Georgia,2011,70.4,40.0,N/A,41.0,87.5,60.3,N/A,87.3,92.1,76.7,89.2,70.0,60.0
Germany,2011,71.8,90.0,N/A,80.0,58.5,42.7,N/A,89.6,40.6,83.9,87.6,85.0,60.0
Ghana,2011,59.4,50.0,N/A,39.0,83.3,46.1,N/A,63.4,56.1,63.3,67.8,65.0,60.0
Greece,2011,60.3,50.0,N/A,38.0,65.9,34.3,N/A,76.2,55.2,80.6,82.6,60.0,60.0
"Guatemala ",2011,61.9,35.0,N/A,34.0,79.5,94.4,N/A,52.1,53.4,76.4,84.6,60.0,50.0
Guinea,2011,51.7,20.0,N/A,18.0,69.6,90.9,N/A,40.8,66.6,70.3,61.2,40.0,40.0
Guinea-Bissau,2011,46.5,20.0,N/A,19.0,88.7,54.8,N/A,25.5,61.4,72.2,63.6,30.0,30.0
Guyana,2011,49.4,30.0,N/A,26.0,64.6,29.1,N/A,66.8,60.3,75.8,71.3,30.0,40.0
Haiti,2011,52.1,10.0,N/A,18.0,80.9,90.1,N/A,37.5,76.4,73.7,74.8,30.0,30.0
"Honduras ",2011,58.6,30.0,N/A,25.0,83.5,85.7,N/A,62.1,29.7,73.2,77.0,60.0,60.0
Hong Kong,2011,89.7,90.0,N/A,82.0,93.3,89.6,N/A,98.7,86.2,87.1,90.0,90.0,90.0
"Hungary ",2011,66.6,65.0,N/A,51.0,69.7,27.4,N/A,76.5,67.7,75.9,87.6,75.0,70.0
Iceland,2011,68.2,90.0,N/A,87.0,69.8,0.0,N/A,92.7,60.7,68.6,88.2,65.0,60.0
India,2011,54.6,50.0,N/A,34.0,75.4,77.8,N/A,36.9,67.2,65.1,64.2,35.0,40.0
Indonesia,2011,56.0,30.0,N/A,28.0,83.0,88.9,N/A,54.9,51.8,74.3,73.8,35.0,40.0
Iran,2011,42.1,10.0,N/A,18.0,81.1,76.0,N/A,69.4,50.7,60.7,44.8,0.0,10.0
Iraq,2011,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ireland,2011,78.7,90.0,N/A,80.0,72.1,47.1,N/A,92.0,77.5,80.7,87.6,90.0,70.0
Israel,2011,68.5,70.0,N/A,61.0,62.3,44.8,N/A,66.1,64.3,78.4,87.8,80.0,70.0
Italy,2011,60.3,50.0,N/A,43.0,55.4,28.6,N/A,77.3,44.4,82.1,87.6,75.0,60.0
"Jamaica ",2011,65.7,40.0,N/A,30.0,75.9,64.7,N/A,86.3,70.2,72.5,72.2,85.0,60.0
Japan,2011,72.8,80.0,N/A,77.0,67.0,58.7,N/A,83.8,81.1,87.9,82.6,60.0,50.0
Jordan,2011,68.9,55.0,N/A,50.0,92.7,60.9,N/A,65.8,74.2,81.4,78.8,70.0,60.0
Kazakhstan,2011,62.1,35.0,N/A,27.0,87.3,78.5,N/A,74.3,88.4,69.9,80.9,30.0,50.0
Kenya,2011,57.4,30.0,N/A,22.0,77.6,72.8,N/A,62.2,62.9,73.2,72.8,50.0,50.0
Kiribati,2011,44.8,30.0,N/A,28.0,60.3,0.0,N/A,62.9,85.1,71.1,55.4,25.0,30.0
Kuwait,2011,64.9,50.0,N/A,41.0,99.9,69.7,N/A,64.4,67.9,69.3,81.6,55.0,50.0
"Kyrgyz Republic ",2011,61.1,25.0,N/A,19.0,92.6,74.2,N/A,75.4,88.1,68.6,63.2,55.0,50.0
Laos,2011,51.3,20.0,N/A,20.0,79.9,90.1,N/A,58.8,49.9,80.4,68.4,25.0,20.0
Latvia,2011,65.8,50.0,N/A,45.0,82.5,55.5,N/A,72.8,61.3,73.5,87.6,80.0,50.0
Lebanon,2011,60.1,25.0,N/A,25.0,91.0,64.9,N/A,57.5,59.0,77.7,80.5,60.0,60.0
Lesotho,2011,47.5,40.0,N/A,33.0,48.2,21.4,N/A,58.9,63.7,71.6,63.6,35.0,40.0
Liberia,2011,46.5,30.0,N/A,31.0,73.3,66.5,N/A,51.8,48.9,69.5,53.8,20.0,20.0
Libya,2011,38.6,10.0,N/A,25.0,80.3,44.5,N/A,20.0,20.0,71.0,85.0,10.0,20.0
Liechtenstein,2011,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lithuania,2011,71.3,60.0,N/A,49.0,86.1,58.0,N/A,81.7,55.6,74.5,87.6,80.0,80.0
Luxembourg,2011,76.2,90.0,N/A,82.0,66.7,58.5,N/A,76.4,44.1,82.1,87.6,95.0,80.0
Macau,2011,73.1,60.0,N/A,53.0,76.6,93.3,N/A,60.0,60.0,83.4,90.0,85.0,70.0
Madagascar,2011,61.2,40.0,N/A,30.0,87.8,89.7,N/A,60.0,50.7,75.9,73.2,55.0,50.0
Malawi,2011,55.8,45.0,N/A,33.0,79.3,56.7,N/A,42.4,59.1,71.6,71.0,50.0,50.0
"Malaysia ",2011,66.3,50.0,N/A,45.0,84.6,79.2,N/A,69.7,79.2,81.3,78.7,45.0,50.0
Maldives,2011,48.3,25.0,N/A,25.0,95.6,0.0,N/A,81.5,73.4,74.1,43.8,35.0,30.0
Mali,2011,56.3,30.0,N/A,28.0,60.5,86.5,N/A,51.2,65.8,77.6,73.2,50.0,40.0
Malta,2011,65.7,70.0,N/A,52.0,62.5,39.8,N/A,70.0,60.0,80.1,87.6,75.0,60.0
Mauritania,2011,52.1,25.0,N/A,25.0,81.1,73.9,N/A,48.3,50.3,77.4,69.9,30.0,40.0
Mauritius,2011,76.2,60.0,N/A,54.0,91.9,80.0,N/A,82.0,70.4,76.1,88.0,90.0,70.0
Mexico,2011,67.8,50.0,N/A,33.0,81.3,83.1,N/A,87.3,60.9,75.7,81.2,65.0,60.0
Micronesia,2011,50.3,30.0,N/A,30.0,97.6,0.0,N/A,58.7,82.4,73.4,81.0,20.0,30.0
Moldova,2011,55.7,40.0,N/A,33.0,85.6,48.1,N/A,69.5,39.0,77.0,80.2,35.0,50.0
Mongolia,2011,59.5,30.0,N/A,27.0,83.3,49.6,N/A,67.7,74.1,73.6,79.8,50.0,60.0
Montenegro,2011,62.5,40.0,N/A,39.0,89.4,28.6,N/A,71.3,92.3,76.0,83.6,55.0,50.0
Morocco,2011,59.6,40.0,N/A,33.0,67.8,74.6,N/A,75.7,27.2,76.5,75.8,65.0,60.0
"Mozambique ",2011,56.8,30.0,N/A,25.0,77.5,76.5,N/A,63.1,39.2,80.3,81.0,45.0,50.0
Namibia,2011,62.7,30.0,N/A,45.0,67.9,74.8,N/A,72.9,84.6,70.9,86.4,55.0,40.0
Nepal,2011,50.1,30.0,N/A,23.0,86.4,88.4,N/A,59.2,44.3,73.8,61.4,5.0,30.0
Netherlands,2011,74.7,90.0,N/A,89.0,50.6,36.8,N/A,81.9,58.3,82.7,87.6,90.0,80.0
New Zealand,2011,82.3,95.0,N/A,94.0,64.7,49.3,N/A,99.9,89.2,84.8,86.6,80.0,80.0
"Nicaragua ",2011,58.8,20.0,N/A,25.0,78.8,81.3,N/A,54.3,67.1,71.7,84.8,55.0,50.0
Niger,2011,54.3,30.0,N/A,29.0,77.5,83.0,N/A,36.9,40.3,80.0,71.8,55.0,40.0
Nigeria,2011,56.7,30.0,N/A,25.0,84.4,73.0,N/A,51.6,84.5,73.5,65.0,40.0,40.0
North Korea,2011,1.0,5.0,N/A,5.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0
North Macedonia,2011,66.0,35.0,N/A,38.0,90.0,64.3,N/A,64.6,79.7,84.5,83.6,60.0,60.0
Norway,2011,70.3,90.0,N/A,86.0,51.6,51.5,N/A,88.3,45.8,75.1,89.4,65.0,60.0
Oman,2011,69.8,50.0,N/A,55.0,98.5,68.1,N/A,69.4,89.1,69.5,83.6,55.0,60.0
"Pakistan ",2011,55.1,30.0,N/A,24.0,80.5,88.8,N/A,70.9,46.3,63.6,67.0,40.0,40.0
"Panama ",2011,64.9,40.0,N/A,34.0,82.6,88.6,N/A,75.1,41.1,77.1,75.8,65.0,70.0
Papua New Guinea,2011,52.6,20.0,N/A,21.0,66.3,63.3,N/A,60.2,72.4,72.9,85.4,35.0,30.0
"Paraguay ",2011,62.3,30.0,N/A,21.0,97.6,93.4,N/A,61.7,24.9,80.9,83.0,70.0,60.0
Peru,2011,68.6,40.0,N/A,37.0,79.4,91.0,N/A,71.9,67.7,83.1,86.0,70.0,60.0
Philippines,2011,56.2,30.0,N/A,24.0,78.8,91.0,N/A,43.4,50.7,76.3,77.8,40.0,50.0
Poland,2011,64.1,60.0,N/A,50.0,74.0,43.8,N/A,61.4,61.2,78.1,87.6,65.0,60.0
Portugal,2011,64.0,70.0,N/A,58.0,61.1,36.2,N/A,80.1,34.7,82.3,87.6,70.0,60.0
Qatar,2011,70.5,70.0,N/A,70.0,99.8,78.1,N/A,70.3,67.0,71.9,82.4,45.0,50.0
"Republic of Congo ",2011,43.6,10.0,N/A,19.0,61.8,79.7,N/A,40.8,42.3,71.4,61.0,20.0,30.0
Romania,2011,64.7,40.0,N/A,38.0,86.8,57.6,N/A,72.0,60.8,74.4,87.6,80.0,50.0
Russia,2011,50.5,25.0,N/A,22.0,82.7,65.1,N/A,50.7,62.9,63.1,68.2,25.0,40.0
Rwanda,2011,62.7,35.0,N/A,33.0,76.9,78.6,N/A,76.9,89.9,68.5,77.8,50.0,40.0
Saint Lucia,2011,70.8,70.0,N/A,70.0,74.4,71.4,N/A,86.2,83.4,85.3,71.9,55.0,40.0
Saint Vincent and the Grenadines,2011,66.9,70.0,N/A,64.0,72.3,65.1,N/A,79.3,76.8,78.2,73.3,50.0,40.0
Samoa,2011,60.6,60.0,N/A,45.0,80.1,67.9,N/A,72.8,82.1,68.5,70.0,30.0,30.0
"São Tomé and Príncipe ",2011,49.5,30.0,N/A,28.0,87.2,67.5,N/A,32.0,46.4,62.2,66.6,45.0,30.0
Saudi Arabia,2011,66.2,45.0,N/A,43.0,99.4,74.6,N/A,86.1,77.0,64.3,82.2,40.0,50.0
Senegal,2011,55.7,40.0,N/A,30.0,65.4,78.8,N/A,62.3,42.9,79.7,73.2,45.0,40.0
"Serbia ",2011,58.0,40.0,N/A,35.0,83.6,41.9,N/A,59.0,68.9,66.0,75.2,60.0,50.0
Seychelles,2011,51.2,50.0,N/A,48.0,77.7,52.5,N/A,62.4,58.1,54.9,33.4,45.0,30.0
Sierra Leone,2011,49.6,10.0,N/A,22.0,80.8,86.8,N/A,54.9,39.4,74.2,62.8,45.0,20.0
Singapore,2011,87.2,90.0,N/A,92.0,91.1,91.3,N/A,98.2,98.0,86.2,90.0,75.0,60.0
Slovakia,2011,69.5,50.0,N/A,45.0,84.2,63.7,N/A,73.4,64.5,81.6,87.6,75.0,70.0
Slovenia,2011,64.6,60.0,N/A,66.0,65.1,41.1,N/A,83.6,41.8,80.5,87.6,70.0,50.0
Solomon Islands,2011,45.9,30.0,N/A,28.0,69.2,32.9,N/A,59.8,66.6,70.4,62.4,10.0,30.0
Somalia,2011,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Africa,2011,62.7,50.0,N/A,47.0,69.6,77.5,N/A,72.3,56.7,71.9,77.2,45.0,60.0
South Korea,2011,69.8,70.0,N/A,55.0,72.2,73.0,N/A,91.6,46.5,78.7,70.8,70.0,70.0
Spain,2011,70.2,70.0,N/A,61.0,61.0,49.3,N/A,77.2,53.0,82.4,87.6,80.0,80.0
Sri Lanka,2011,57.1,40.0,N/A,31.0,73.4,84.7,N/A,71.9,61.8,65.8,72.2,30.0,40.0
Sudan,2011,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Suriname,2011,53.1,40.0,N/A,37.0,68.1,80.3,N/A,40.7,81.8,76.4,66.4,10.0,30.0
Sweden,2011,71.9,90.0,N/A,92.0,37.6,17.3,N/A,95.0,54.0,80.1,87.6,85.0,80.0
Switzerland,2011,81.9,90.0,N/A,90.0,68.4,69.3,N/A,80.2,87.8,83.8,90.0,80.0,80.0
Syria,2011,51.3,30.0,N/A,26.0,84.6,85.3,N/A,55.9,55.8,69.7,65.4,20.0,20.0
Taiwan,2011,70.8,70.0,N/A,56.0,78.3,89.7,N/A,84.7,46.1,82.0,86.2,65.0,50.0
Tajikistan,2011,53.5,25.0,N/A,20.0,88.6,77.3,N/A,60.7,56.4,64.5,82.5,20.0,40.0
Tanzania,2011,57.0,30.0,N/A,26.0,79.8,80.5,N/A,46.0,59.0,68.8,69.6,60.0,50.0
"Thailand ",2011,64.7,45.0,N/A,34.0,74.8,90.6,N/A,69.9,76.3,70.8,75.9,40.0,70.0
The Bahamas,2011,68.0,70.0,N/A,55.0,97.2,86.9,N/A,72.5,81.3,74.6,42.2,30.0,70.0
The Gambia,2011,57.4,30.0,N/A,29.0,73.2,79.7,N/A,57.8,67.2,71.4,60.4,55.0,50.0
Timor-Leste,2011,42.8,20.0,N/A,22.0,64.7,0.0,N/A,44.2,76.5,78.1,73.0,30.0,20.0
Togo,2011,49.1,30.0,N/A,28.0,68.1,88.6,N/A,36.8,43.7,78.1,62.2,25.0,30.0
Tonga,2011,55.8,25.0,N/A,30.0,83.1,73.2,N/A,77.4,92.1,71.1,56.2,30.0,20.0
Trinidad and Tobago,2011,66.5,50.0,N/A,36.0,83.7,75.8,N/A,58.4,77.1,71.8,81.7,60.0,70.0
Tunisia,2011,58.5,50.0,N/A,42.0,73.7,77.6,N/A,80.2,65.7,77.3,53.5,35.0,30.0
Turkey,2011,64.2,50.0,N/A,44.0,78.2,83.6,N/A,68.7,39.6,72.7,85.4,70.0,50.0
Turkmenistan,2011,43.6,10.0,N/A,18.0,93.6,95.5,N/A,30.0,30.0,69.6,79.2,0.0,10.0
Uganda,2011,61.7,30.0,N/A,25.0,80.6,90.5,N/A,50.3,87.8,73.2,74.8,45.0,60.0
Ukraine,2011,45.8,30.0,N/A,22.0,77.3,32.9,N/A,47.1,50.0,63.2,85.2,20.0,30.0
United Arab Emirates,2011,67.8,50.0,N/A,65.0,99.9,79.1,N/A,67.3,72.4,76.5,82.6,35.0,50.0
United Kingdom,2011,74.5,85.0,N/A,77.0,52.0,32.9,N/A,94.6,71.2,74.9,87.6,90.0,80.0
United States,2011,77.8,85.0,N/A,75.0,68.3,54.6,N/A,91.0,95.7,77.4,86.4,75.0,70.0
"Uruguay ",2011,70.0,70.0,N/A,67.0,84.3,76.5,N/A,61.5,74.9,72.8,83.0,80.0,30.0
Uzbekistan,2011,45.8,15.0,N/A,17.0,90.5,71.0,N/A,66.8,60.2,61.7,66.2,0.0,10.0
Vanuatu,2011,56.7,40.0,N/A,32.0,96.1,79.1,N/A,68.8,49.8,76.5,55.1,30.0,40.0
"Venezuela ",2011,37.6,5.0,N/A,19.0,75.0,65.3,N/A,47.8,31.1,47.0,61.2,5.0,20.0
Vietnam,2011,51.6,15.0,N/A,27.0,75.9,75.1,N/A,61.6,68.2,79.1,68.9,15.0,30.0
Yemen,2011,54.2,30.0,N/A,21.0,83.2,44.5,N/A,73.7,50.9,82.3,81.6,45.0,30.0
Zambia,2011,59.7,30.0,N/A,30.0,72.4,81.8,N/A,62.2,56.3,77.3,82.4,55.0,50.0
Zimbabwe,2011,22.1,5.0,N/A,22.0,70.3,0.0,N/A,32.1,36.8,0.0,45.0,0.0,10.0
