Name,Index Year,Overall Score,Property Rights,Judicial Effectiveness,Government Integrity,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Canada,2014,80.2,90.0,N/A,87.7,79.7,47.3,N/A,89.3,83.1,76.3,88.3,80.0,80.0
Central African Republic,2014,46.7,10.0,N/A,20.6,65.1,92.6,N/A,33.9,40.4,72.5,51.8,50.0,30.0
Chad,2014,44.5,20.0,N/A,15.9,46.2,80.0,N/A,24.9,43.3,69.8,55.2,50.0,40.0
Chile,2014,78.7,90.0,N/A,72.3,76.5,83.8,N/A,69.3,69.3,84.1,82.0,90.0,70.0
China,2014,52.5,20.0,N/A,35.0,69.9,82.9,N/A,49.7,61.9,73.3,71.8,30.0,30.0
Colombia,2014,70.7,50.0,N/A,33.2,80.6,74.9,N/A,85.2,80.5,78.8,78.8,75.0,70.0
Comoros,2014,51.4,30.0,N/A,22.1,64.5,85.3,N/A,49.4,50.1,74.5,72.7,35.0,30.0
"Costa Rica ",2014,66.9,50.0,N/A,50.9,80.0,90.0,N/A,64.9,53.3,76.3,83.8,70.0,50.0
"Côte d'Ivoire ",2014,57.7,30.0,N/A,22.1,79.1,79.8,N/A,55.1,59.0,80.6,71.4,50.0,50.0
Croatia,2014,60.4,40.0,N/A,41.1,69.4,45.8,N/A,61.4,39.4,79.2,87.4,80.0,60.0
Cuba,2014,28.7,10.0,N/A,41.2,60.0,0.0,N/A,20.0,20.0,65.8,60.0,0.0,10.0
Cyprus,2014,67.6,70.0,N/A,64.0,79.7,36.2,N/A,79.7,70.2,78.8,82.8,65.0,50.0
Czech Republic,2014,72.2,70.0,N/A,45.3,81.7,43.8,N/A,70.1,84.0,79.4,87.8,80.0,80.0
Democratic Republic of Congo,2014,40.6,10.0,N/A,17.6,69.4,74.6,N/A,30.0,38.5,63.0,63.0,20.0,20.0
Denmark,2014,76.1,90.0,N/A,93.7,39.3,0.5,N/A,98.1,91.2,80.0,87.8,90.0,90.0
Djibouti,2014,55.9,30.0,N/A,30.9,80.6,62.8,N/A,42.7,65.1,77.2,54.8,65.0,50.0
Dominica,2014,65.2,60.0,N/A,53.5,72.9,61.7,N/A,75.0,70.7,85.8,72.7,70.0,30.0
Dominican Republic,2014,61.3,30.0,N/A,27.3,83.7,92.3,N/A,56.1,55.2,75.7,77.8,75.0,40.0
Ecuador,2014,48.0,20.0,N/A,26.0,79.8,41.8,N/A,52.8,52.0,66.1,71.8,30.0,40.0
Egypt,2014,52.9,20.0,N/A,28.6,85.6,69.6,N/A,62.7,45.7,60.5,71.4,45.0,40.0
"El Salvador ",2014,66.2,40.0,N/A,34.3,79.6,85.8,N/A,59.6,63.3,80.0,79.0,70.0,70.0
Equatorial Guinea,2014,44.4,10.0,N/A,16.6,75.5,62.6,N/A,43.4,41.5,75.4,53.8,35.0,30.0
Eritrea,2014,38.5,10.0,N/A,22.9,57.0,66.1,N/A,18.6,63.6,57.6,69.1,0.0,20.0
Estonia,2014,75.9,90.0,N/A,64.2,80.4,56.0,N/A,77.6,55.9,76.9,87.8,90.0,80.0
Eswatini,2014,61.2,40.0,N/A,31.6,74.7,70.9,N/A,64.2,71.7,72.3,81.5,65.0,40.0
Ethiopia,2014,50.0,30.0,N/A,27.0,77.5,89.9,N/A,57.8,54.7,59.0,64.2,20.0,20.0
Fiji,2014,58.7,25.0,N/A,20.0,82.3,76.2,N/A,64.9,73.1,75.2,70.2,50.0,50.0
Finland,2014,73.4,90.0,N/A,93.4,65.1,8.9,N/A,93.6,46.5,78.9,87.8,90.0,80.0
France,2014,63.5,80.0,N/A,69.9,48.4,5.6,N/A,79.9,51.8,76.1,82.8,70.0,70.0
Gabon,2014,57.8,40.0,N/A,29.1,74.5,81.7,N/A,58.9,63.0,75.1,61.0,55.0,40.0
Georgia,2014,72.6,40.0,N/A,42.8,87.3,69.7,N/A,87.8,91.2,78.4,88.6,80.0,60.0
Germany,2014,73.4,90.0,N/A,80.1,61.2,38.2,N/A,89.9,46.4,80.8,87.8,90.0,70.0
Ghana,2014,64.2,50.0,N/A,40.4,85.4,83.3,N/A,62.6,60.2,65.8,64.8,70.0,60.0
Greece,2014,55.7,40.0,N/A,33.2,65.9,19.2,N/A,75.8,53.9,76.3,82.8,60.0,50.0
"Guatemala ",2014,61.2,25.0,N/A,28.7,79.6,93.6,N/A,58.4,49.3,76.7,85.4,65.0,50.0
Guinea,2014,53.5,20.0,N/A,19.2,69.3,86.2,N/A,51.8,73.4,64.1,61.2,50.0,40.0
Guinea-Bissau,2014,51.3,20.0,N/A,20.2,89.0,86.6,N/A,40.5,61.4,74.4,61.4,30.0,30.0
Guyana,2014,55.7,30.0,N/A,24.4,68.4,71.8,N/A,64.3,72.6,78.1,72.0,45.0,30.0
Haiti,2014,48.9,10.0,N/A,16.9,80.3,66.3,N/A,33.3,68.5,73.6,70.4,40.0,30.0
"Honduras ",2014,57.1,30.0,N/A,23.7,84.9,79.8,N/A,55.4,26.5,75.1,75.4,60.0,60.0
Hong Kong,2014,90.1,90.0,N/A,82.3,93.0,89.7,N/A,98.9,95.5,82.0,90.0,90.0,90.0
"Hungary ",2014,67.0,60.0,N/A,48.6,81.1,26.8,N/A,79.3,65.7,75.6,87.8,75.0,70.0
Iceland,2014,72.4,90.0,N/A,84.2,72.9,32.9,N/A,91.2,59.1,76.0,87.9,70.0,60.0
India,2014,55.7,50.0,N/A,31.5,79.4,77.8,N/A,37.7,74.0,65.5,65.6,35.0,40.0
Indonesia,2014,58.5,30.0,N/A,28.0,83.4,89.8,N/A,54.8,47.8,76.4,74.8,40.0,60.0
Iran,2014,40.3,10.0,N/A,23.4,80.6,85.9,N/A,62.3,41.7,47.3,41.4,0.0,10.0
Iraq,2014,N/A,N/A,N/A,13.7,95.5,40.3,N/A,56.9,73.4,70.0,N/A,N/A,N/A
Ireland,2014,76.2,90.0,N/A,74.8,74.0,30.6,N/A,83.4,79.5,81.7,87.8,90.0,70.0
Israel,2014,68.4,75.0,N/A,59.3,60.1,40.3,N/A,73.2,63.0,80.6,82.9,80.0,70.0
Italy,2014,60.9,50.0,N/A,38.5,55.5,25.6,N/A,75.5,52.5,78.9,87.8,85.0,60.0
"Jamaica ",2014,66.7,40.0,N/A,33.0,77.2,69.4,N/A,84.6,75.6,77.3,75.1,85.0,50.0
Japan,2014,72.4,80.0,N/A,77.8,69.2,47.1,N/A,80.0,79.8,87.5,82.4,70.0,50.0
Jordan,2014,69.2,60.0,N/A,45.6,94.0,66.9,N/A,62.0,72.9,81.3,79.6,70.0,60.0
Kazakhstan,2014,63.7,30.0,N/A,25.7,92.9,85.0,N/A,74.4,86.7,74.4,78.2,40.0,50.0
Kenya,2014,57.1,30.0,N/A,21.0,78.0,74.6,N/A,55.8,64.0,74.9,72.8,50.0,50.0
Kiribati,2014,46.3,30.0,N/A,29.2,71.4,0.0,N/A,57.0,83.6,81.3,55.4,25.0,30.0
Kosovo,2014,N/A,30.0,N/A,28.6,92.7,73.0,N/A,58.1,71.3,72.7,N/A,65.0,N/A
Kuwait,2014,62.3,50.0,N/A,43.7,97.7,55.6,N/A,57.7,63.6,73.2,76.7,55.0,50.0
"Kyrgyz Republic ",2014,61.1,20.0,N/A,19.2,94.6,60.2,N/A,74.2,83.8,73.7,75.2,60.0,50.0
Laos,2014,51.2,15.0,N/A,18.6,86.6,86.7,N/A,60.7,54.9,75.5,58.6,35.0,20.0
Latvia,2014,68.7,50.0,N/A,43.6,84.6,54.9,N/A,82.5,68.5,79.7,87.8,85.0,50.0
Lebanon,2014,59.4,20.0,N/A,24.5,90.9,73.7,N/A,55.6,58.7,74.5,75.8,60.0,60.0
Lesotho,2014,49.5,40.0,N/A,37.1,67.4,0.0,N/A,54.0,62.4,75.5,68.6,50.0,40.0
Liberia,2014,52.4,30.0,N/A,33.8,83.6,70.5,N/A,62.3,47.0,72.9,64.1,40.0,20.0
Libya,2014,N/A,10.0,N/A,18.3,95.0,0.0,N/A,50.1,77.9,66.9,N/A,5.0,20.0
Liechtenstein,2014,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90.0,85.0,80.0
Lithuania,2014,73.0,60.0,N/A,49.9,92.9,55.9,N/A,85.7,59.0,78.6,87.8,80.0,80.0
Luxembourg,2014,74.2,90.0,N/A,84.1,62.8,47.6,N/A,72.6,43.1,78.9,87.8,95.0,80.0
Macau,2014,71.3,60.0,N/A,49.7,71.4,91.7,N/A,60.0,55.0,79.8,90.0,85.0,70.0
Madagascar,2014,61.7,40.0,N/A,27.3,90.8,92.3,N/A,62.8,43.9,77.6,77.8,55.0,50.0
Malawi,2014,55.4,45.0,N/A,31.9,78.0,63.0,N/A,38.9,60.3,64.1,72.7,50.0,50.0
"Malaysia ",2014,69.6,55.0,N/A,44.3,84.6,75.6,N/A,85.6,78.5,81.0,76.4,55.0,60.0
Maldives,2014,51.0,20.0,N/A,21.9,97.4,43.8,N/A,87.4,71.7,69.4,43.8,25.0,30.0
Mali,2014,55.5,20.0,N/A,27.7,69.8,81.7,N/A,48.0,63.2,76.7,73.2,55.0,40.0
Malta,2014,66.4,75.0,N/A,55.8,63.7,47.2,N/A,62.4,53.2,79.1,87.8,80.0,60.0
Mauritania,2014,53.2,25.0,N/A,23.9,81.7,75.8,N/A,38.0,53.1,75.5,69.0,50.0,40.0
Mauritius,2014,76.5,65.0,N/A,53.4,92.2,81.8,N/A,74.4,78.0,76.7,88.6,85.0,70.0
Mexico,2014,66.8,50.0,N/A,29.7,80.9,78.9,N/A,76.8,58.3,77.4,85.6,70.0,60.0
Micronesia,2014,49.8,30.0,N/A,30.0,97.5,0.0,N/A,51.7,77.9,75.2,81.0,25.0,30.0
Moldova,2014,57.3,40.0,N/A,29.5,85.8,54.4,N/A,70.1,37.9,75.0,80.1,50.0,50.0
Mongolia,2014,58.9,30.0,N/A,28.2,81.8,39.1,N/A,71.8,81.1,72.4,74.7,50.0,60.0
Montenegro,2014,63.6,40.0,N/A,37.8,92.5,42.6,N/A,77.6,68.6,78.6,83.1,65.0,50.0
Morocco,2014,58.3,40.0,N/A,33.3,71.3,64.1,N/A,76.2,31.5,78.1,58.8,70.0,60.0
"Mozambique ",2014,55.0,30.0,N/A,26.2,75.7,64.6,N/A,65.2,36.7,80.8,75.5,45.0,50.0
Namibia,2014,59.4,30.0,N/A,44.2,66.9,58.8,N/A,64.4,81.9,75.0,82.9,50.0,40.0
Nepal,2014,50.1,30.0,N/A,21.3,85.9,89.6,N/A,58.5,43.8,76.3,61.0,5.0,30.0
Netherlands,2014,74.2,90.0,N/A,88.0,51.7,25.6,N/A,89.7,59.6,79.9,87.8,90.0,80.0
New Zealand,2014,81.2,95.0,N/A,94.0,71.2,32.3,N/A,96.1,90.2,86.3,86.8,80.0,80.0
"Nicaragua ",2014,58.4,15.0,N/A,24.1,78.6,80.0,N/A,52.6,60.3,72.8,85.4,65.0,50.0
Niger,2014,55.1,30.0,N/A,26.0,76.8,88.4,N/A,35.2,45.4,88.3,65.6,55.0,40.0
Nigeria,2014,54.3,30.0,N/A,22.7,85.0,74.5,N/A,48.0,66.4,73.1,63.8,40.0,40.0
North Korea,2014,1.0,5.0,N/A,5.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0
North Macedonia,2014,68.6,35.0,N/A,39.6,91.4,70.7,N/A,81.0,78.8,83.5,85.9,60.0,60.0
Norway,2014,70.9,90.0,N/A,88.1,50.6,42.2,N/A,90.9,44.6,78.7,89.1,75.0,60.0
Oman,2014,67.4,50.0,N/A,48.2,98.5,56.0,N/A,68.3,75.5,73.6,78.7,65.0,60.0
"Pakistan ",2014,55.2,30.0,N/A,22.7,80.6,88.3,N/A,69.4,47.3,68.5,64.8,40.0,40.0
"Panama ",2014,63.4,30.0,N/A,34.0,84.3,78.7,N/A,73.0,39.4,75.1,74.2,75.0,70.0
Papua New Guinea,2014,53.9,20.0,N/A,20.2,66.7,75.4,N/A,57.0,73.7,75.5,85.1,35.0,30.0
"Paraguay ",2014,62.0,30.0,N/A,20.5,96.2,89.0,N/A,58.0,28.9,80.9,81.1,75.0,60.0
Peru,2014,67.4,40.0,N/A,34.0,79.1,89.1,N/A,70.6,61.4,83.3,87.0,70.0,60.0
Philippines,2014,60.1,30.0,N/A,26.1,79.2,92.3,N/A,59.9,49.7,78.0,75.5,60.0,50.0
Poland,2014,67.0,60.0,N/A,54.8,76.1,43.2,N/A,70.1,60.4,77.8,87.8,70.0,70.0
Portugal,2014,63.5,70.0,N/A,61.1,60.1,26.8,N/A,84.9,34.6,79.3,87.8,70.0,60.0
Qatar,2014,71.2,70.0,N/A,72.4,99.9,72.1,N/A,71.7,70.0,81.2,79.8,45.0,50.0
"Republic of Congo ",2014,43.7,10.0,N/A,20.6,67.5,79.6,N/A,35.1,47.0,72.0,55.6,20.0,30.0
Romania,2014,65.5,40.0,N/A,37.7,87.0,59.2,N/A,71.0,65.2,77.1,87.8,80.0,50.0
Russia,2014,51.9,25.0,N/A,22.1,85.6,61.5,N/A,70.0,55.8,69.4,74.6,25.0,30.0
Rwanda,2014,64.7,30.0,N/A,46.9,80.3,78.2,N/A,69.6,84.1,74.8,77.7,65.0,40.0
Saint Lucia,2014,70.7,70.0,N/A,70.6,75.7,63.6,N/A,83.1,84.5,82.7,71.9,65.0,40.0
Saint Vincent and the Grenadines,2014,67.0,70.0,N/A,61.1,73.7,72.4,N/A,76.3,78.7,79.8,67.6,50.0,40.0
Samoa,2014,61.1,60.0,N/A,38.0,79.9,42.2,N/A,73.7,80.3,76.1,75.8,55.0,30.0
"São Tomé and Príncipe ",2014,48.8,20.0,N/A,32.5,86.9,27.9,N/A,52.6,44.7,68.3,75.3,50.0,30.0
Saudi Arabia,2014,62.2,40.0,N/A,43.7,99.7,63.1,N/A,67.3,75.8,68.7,74.0,40.0,50.0
Senegal,2014,55.4,40.0,N/A,29.5,65.1,75.4,N/A,47.5,41.5,81.8,73.2,60.0,40.0
"Serbia ",2014,59.4,40.0,N/A,34.0,83.1,38.6,N/A,59.3,70.1,66.9,77.0,75.0,50.0
Seychelles,2014,56.2,50.0,N/A,48.5,76.8,61.8,N/A,67.6,68.5,75.1,33.4,50.0,30.0
Sierra Leone,2014,50.5,15.0,N/A,24.6,80.7,85.7,N/A,55.3,28.7,70.2,70.2,55.0,20.0
Singapore,2014,89.4,90.0,N/A,91.9,91.2,91.2,N/A,96.8,96.5,81.5,90.0,85.0,80.0
Slovakia,2014,66.4,50.0,N/A,41.8,80.2,56.0,N/A,67.0,53.6,78.1,87.8,80.0,70.0
Slovenia,2014,62.7,60.0,N/A,61.0,58.9,22.6,N/A,85.4,51.0,80.3,87.8,70.0,50.0
Solomon Islands,2014,46.2,30.0,N/A,25.0,61.4,21.3,N/A,65.2,65.2,75.4,73.0,15.0,30.0
Somalia,2014,N/A,N/A,N/A,5.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Africa,2014,62.5,50.0,N/A,41.6,68.7,69.1,N/A,74.5,54.4,75.3,76.1,55.0,60.0
South Korea,2014,71.2,70.0,N/A,54.0,72.6,72.6,N/A,92.8,47.8,79.6,72.6,70.0,80.0
Spain,2014,67.2,70.0,N/A,62.6,54.0,38.7,N/A,77.3,52.2,79.9,87.8,80.0,70.0
Sri Lanka,2014,60.0,40.0,N/A,33.4,84.9,86.3,N/A,74.4,59.2,68.0,73.6,40.0,40.0
Sudan,2014,N/A,N/A,N/A,9.8,85.1,90.3,N/A,54.5,49.1,55.8,55.6,15.0,N/A
Suriname,2014,54.2,40.0,N/A,32.9,69.0,78.3,N/A,41.8,81.8,71.8,66.2,30.0,30.0
Sweden,2014,73.1,90.0,N/A,92.3,42.9,21.4,N/A,91.1,52.9,82.5,87.8,90.0,80.0
Switzerland,2014,81.6,90.0,N/A,88.1,68.9,65.7,N/A,75.4,87.4,85.2,90.0,85.0,80.0
Syria,2014,N/A,10.0,N/A,23.3,N/A,N/A,N/A,60.4,55.1,N/A,N/A,0.0,20.0
Taiwan,2014,73.9,70.0,N/A,59.7,80.3,84.7,N/A,93.9,53.1,81.7,85.8,70.0,60.0
Tajikistan,2014,52.0,20.0,N/A,19.4,92.3,78.1,N/A,58.4,45.5,67.7,73.2,25.0,40.0
Tanzania,2014,57.8,30.0,N/A,28.8,79.7,78.3,N/A,47.0,61.1,66.0,76.8,60.0,50.0
"Thailand ",2014,63.3,45.0,N/A,33.6,79.7,83.6,N/A,71.4,61.6,68.6,75.0,45.0,70.0
The Bahamas,2014,69.8,70.0,N/A,66.6,97.3,84.1,N/A,70.7,81.5,75.1,52.2,30.0,70.0
The Gambia,2014,59.5,30.0,N/A,31.7,79.0,79.8,N/A,57.4,65.8,71.3,65.0,65.0,50.0
Timor-Leste,2014,43.2,20.0,N/A,25.4,64.7,0.0,N/A,45.4,79.2,68.3,64.4,45.0,20.0
Togo,2014,49.9,30.0,N/A,23.8,69.7,82.4,N/A,43.3,42.8,79.3,62.8,35.0,30.0
Tonga,2014,58.2,20.0,N/A,28.6,86.7,74.8,N/A,74.6,91.2,71.3,79.5,35.0,20.0
Trinidad and Tobago,2014,62.7,50.0,N/A,34.0,84.8,62.5,N/A,59.4,76.4,71.7,78.6,60.0,50.0
Tunisia,2014,57.3,40.0,N/A,39.2,74.3,63.8,N/A,80.7,72.6,75.9,61.8,35.0,30.0
Turkey,2014,64.9,50.0,N/A,44.0,77.5,63.5,N/A,67.6,59.7,71.8,84.5,70.0,60.0
Turkmenistan,2014,42.2,5.0,N/A,13.4,95.2,93.0,N/A,30.0,30.0,65.9,79.2,0.0,10.0
Uganda,2014,59.9,30.0,N/A,23.8,79.1,87.3,N/A,45.1,87.4,71.0,75.4,60.0,40.0
Ukraine,2014,49.3,30.0,N/A,21.9,79.1,37.5,N/A,59.8,49.8,78.7,86.2,20.0,30.0
United Arab Emirates,2014,71.4,55.0,N/A,66.4,99.6,83.1,N/A,74.4,82.9,84.6,82.5,35.0,50.0
United Kingdom,2014,74.9,90.0,N/A,76.4,56.6,29.5,N/A,92.0,73.1,73.5,87.8,90.0,80.0
United States,2014,75.5,80.0,N/A,72.0,65.8,48.1,N/A,89.2,97.2,75.4,86.8,70.0,70.0
"Uruguay ",2014,69.3,70.0,N/A,70.6,77.4,68.0,N/A,74.5,68.1,72.1,82.5,80.0,30.0
Uzbekistan,2014,46.5,15.0,N/A,13.4,90.3,70.4,N/A,75.7,60.8,63.1,66.1,0.0,10.0
Vanuatu,2014,59.5,40.0,N/A,33.5,97.3,81.7,N/A,54.8,56.8,82.7,48.0,60.0,40.0
"Venezuela ",2014,36.3,5.0,N/A,16.5,75.3,51.8,N/A,43.4,33.7,49.7,62.7,5.0,20.0
Vietnam,2014,50.8,15.0,N/A,26.9,77.0,71.4,N/A,62.0,68.3,63.6,78.7,15.0,30.0
Yemen,2014,55.5,30.0,N/A,19.4,91.7,74.9,N/A,59.2,54.9,62.1,82.4,50.0,30.0
Zambia,2014,60.4,30.0,N/A,31.3,71.8,82.9,N/A,74.9,50.1,68.0,84.6,60.0,50.0
Zimbabwe,2014,35.5,10.0,N/A,19.3,63.3,64.0,N/A,34.5,22.2,73.0,54.2,5.0,10.0
